date,price
2025-10-24,504220
2025-10-23,500000
2025-10-22,495800
2025-10-21,489000
2025-10-20,483700
2025-10-17,475530
2025-10-16,459700
2025-10-15,459000
2025-10-14,459340
2025-10-13,455600
2025-10-09,479740
2025-10-08,483140
2025-10-07,468765
2025-10-06,468930
2025-10-03,467120
2025-10-02,467120
2025-10-01,466620
2025-09-30,452430
2025-09-29,445830
2025-09-26,441000
2025-09-25,438240
2025-09-24,445000
2025-09-23,462400
2025-09-22,468000
2025-09-19,490000
2025-09-18,490000
2025-09-17,500000
2025-09-16,508000
2025-09-15,510000
2025-09-12,512000
2025-09-11,510000
2025-09-10,504500
2025-09-09,502000
2025-09-08,500000
2025-09-05,484560
2025-09-04,487260
2025-09-03,486900
2025-09-02,486720
2025-09-01,490680
2025-08-29,479880
2025-08-28,476640
2025-08-27,482580
2025-08-26,485100
2025-08-25,487080
2025-08-22,472320
2025-08-21,470000
2025-08-20,458660
2025-08-19,455700
2025-08-18,455000
2025-08-14,458305
2025-08-13,463000
2025-08-12,464500
2025-08-11,466100
2025-08-08,467500
2025-08-07,467700
2025-08-06,469700
2025-08-05,471000
2025-08-04,472800
2025-08-01,474250
2025-07-31,477750
2025-07-30,457000
2025-07-29,445000
2025-07-28,440000
2025-07-25,432100
2025-07-24,429500
2025-07-23,424500
2025-07-22,420400
2025-07-21,425000
2025-07-18,425000
2025-07-17,417450
2025-07-16,413160
2025-07-15,412830
2025-07-14,419430
2025-07-11,413325
2025-07-10,411180
2025-07-08,411180
2025-07-07,414150
2025-07-04,406200
2025-07-03,403260
2025-07-02,402600
2025-07-01,400000
2025-06-30,394700
2025-06-27,389400
2025-06-26,389500
2025-06-25,390200
2025-06-24,384600
2025-06-23,383500
2025-06-19,381000
2025-06-18,379000
2025-06-17,380000
2025-06-13,393000
2025-06-12,395000
2025-06-11,399000
2025-06-10,401000
2025-06-09,405720
2025-06-06,411775
2025-06-05,415000
2025-06-04,411775
2025-06-03,411250
2025-06-02,410000
2025-05-30,412600
2025-05-29,410900
2025-05-28,402800
2025-05-27,401400
2025-05-26,396900
2025-05-23,393500
2025-05-22,394300
2025-05-21,394500
2025-05-20,393000
2025-05-19,390000
2025-05-16,385200
2025-05-15,383860
2025-05-14,348130
2025-05-13,343000
2025-05-12,343000
2025-05-09,343800
2025-05-08,337000
2025-05-07,340000
2025-05-06,362000
2025-05-05,363000
2025-04-30,348300
2025-04-29,346800
2025-04-28,350000
